This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
201905,   -7.64,   -6.71,   -6.75,   -7.42,   -7.96,   -6.65,   -6.29,   -6.84,   -6.86,   -7.72,   -7.95,   -7.98,   -7.13,   -6.10,   -5.93,   -6.57,   -7.58,   -5.84
201906,    6.88,    6.80,    7.54,    5.78,    8.35,    5.47,    7.72,    7.45,    8.14,    4.52,    8.47,    8.26,    4.01,    7.07,    7.73,    7.72,    8.04,    6.67
201907,    0.62,    1.55,    1.71,    0.78,    0.01,    2.42,    1.45,    1.69,   -0.46,    2.31,    0.38,   -0.36,    3.20,    0.95,    1.25,    1.77,    0.50,    3.18
201908,   -4.04,   -3.54,   -0.79,   -3.98,   -2.91,   -3.74,   -3.70,   -0.30,   -3.97,   -3.99,   -4.15,   -1.67,   -3.72,   -3.78,   -4.15,   -2.99,   -1.57,    1.25
201909,    0.89,    2.59,    1.25,   -1.06,    3.53,    3.18,    1.18,    1.35,   -2.28,    0.40,    3.86,    3.21,    2.13,    5.21,    1.47,    0.75,    0.85,    1.94
201910,    1.51,    1.96,    2.85,    1.97,    0.52,    2.70,    2.24,    2.82,    3.17,    0.57,    0.85,    0.19,    2.86,    2.40,    1.77,    2.96,    2.88,    2.76
201911,    5.00,    3.86,    3.71,    6.05,    3.32,    3.49,    4.19,    3.79,    7.14,    4.73,    3.47,    3.18,    3.60,    3.28,    4.74,    3.36,    3.43,    4.22
201912,    2.71,    2.38,    3.46,    1.69,    3.27,    2.59,    2.39,    3.60,    1.66,    1.73,    4.25,    2.31,    2.82,    2.14,    2.13,    2.80,    3.37,    3.86
202001,    0.89,   -1.82,    0.98,    0.68,   -0.45,   -1.10,   -2.37,    1.58,    0.77,    0.58,    1.20,   -2.09,    0.16,   -3.47,   -2.72,   -1.84,    2.26,    0.79
202002,   -7.73,   -8.88,   -7.74,   -6.36,  -10.13,   -8.77,   -7.92,   -7.80,   -5.35,   -7.62,   -9.73,  -10.55,   -8.74,   -8.83,   -8.24,   -7.44,   -6.94,   -8.83
202003,  -17.59,  -14.45,  -10.63,  -16.36,  -17.42,  -17.50,  -12.48,   -9.36,  -15.08,  -17.98,  -19.45,  -15.30,  -15.45,  -21.52,   -9.70,  -16.67,   -7.45,  -11.67
202004,   14.55,   12.48,   14.21,   12.93,   14.43,   13.79,   13.19,   13.74,   12.88,   12.99,   17.09,   11.77,   15.76,    9.62,   11.05,   16.68,   14.05,   13.35
202005,    6.75,    4.76,    5.41,    7.97,    5.03,    5.07,    5.76,    4.87,    9.91,    5.42,    4.90,    5.16,    5.43,    4.25,    4.18,    8.22,    3.81,    6.22
202006,    3.12,   -0.52,    4.19,    2.58,    2.07,   -0.43,    0.07,    4.72,    3.41,    1.44,    3.95,    0.09,   -0.53,   -0.22,   -0.90,    1.52,    4.43,    5.09
202007,    5.05,    6.14,    6.08,    5.99,    6.17,    5.26,    5.88,    6.16,    5.51,    6.48,    3.74,    8.58,    6.48,    4.48,    6.03,    5.80,    4.90,    7.80
202008,    5.05,    5.88,    9.32,    6.53,    7.61,    4.39,    5.82,    9.94,    4.41,    8.71,    2.92,   12.05,    2.74,    5.46,    3.67,    7.08,    8.81,   11.35
202009,   -2.66,   -4.34,   -3.83,   -0.93,   -5.69,   -4.32,   -2.85,   -4.06,    1.37,   -3.20,   -5.24,   -6.09,   -3.09,   -5.10,   -2.62,   -2.97,   -3.97,   -4.17
202010,   -0.22,    0.06,   -3.60,   -0.45,   -1.11,    1.04,   -0.77,   -4.25,    0.94,   -1.84,    0.13,   -2.20,    1.09,    1.00,   -0.05,   -1.19,   -3.60,   -5.05
202011,   16.75,   13.16,   10.47,   17.75,   16.39,   10.90,   12.30,   10.31,   21.13,   14.31,   15.24,   17.42,   11.57,   10.47,   14.47,   11.04,   10.20,   10.45
202012,    6.48,    5.15,    4.03,    5.18,    8.89,    3.28,    3.38,    4.57,    7.10,    3.13,    8.48,    9.25,    4.86,    2.24,    5.47,    2.13,    3.36,    6.08
202101,    1.94,    1.60,   -1.73,    2.83,    1.90,    1.73,   -2.08,   -1.31,    6.12,   -0.85,    0.62,    3.01,    0.10,    2.83,   -0.14,   -3.27,   -0.41,   -2.40
202102,    5.95,    3.93,    1.39,    4.23,    3.29,    5.36,    4.30,    0.91,    1.83,    7.10,    8.59,   -1.23,    4.69,    5.80,    6.04,    3.20,    2.21,   -0.71
202103,   -1.43,    4.42,    4.17,   -4.67,    3.50,    4.30,    5.97,    3.58,   -9.32,    0.64,    3.33,    3.66,    3.87,    4.58,    5.43,    6.31,    3.24,    4.02
202104,    4.13,    5.86,    5.12,    4.05,    4.45,    7.39,    4.11,    5.30,    3.82,    4.28,    4.24,    4.64,    4.79,    9.05,    3.53,    4.48,    5.65,    4.85
202105,   -0.01,    1.05,    0.05,   -2.02,    0.43,    1.65,    1.87,   -0.38,   -4.98,    1.00,    2.71,   -1.68,    2.03,    1.42,    2.30,    1.59,    0.03,   -0.91
202106,    2.68,    0.61,    3.71,    5.08,    0.58,    0.90,    0.78,    4.22,   11.05,   -0.66,   -0.44,    1.57,    1.84,    0.31,   -0.99,    1.91,    4.32,    4.09
202107,   -3.07,    1.77,    2.78,   -3.97,   -0.70,    1.74,    2.57,    2.83,   -4.82,   -2.98,   -1.29,   -0.13,    1.70,    1.80,    2.59,    2.54,    2.07,    3.81
202108,    2.13,    4.11,    2.57,    2.92,    1.95,    3.46,    4.43,    2.42,    2.61,    3.27,    0.62,    3.21,    3.72,    2.95,    5.23,    3.26,    2.88,    1.83
202109,   -2.10,   -3.62,   -5.78,   -2.02,   -1.61,   -3.25,   -6.01,   -5.41,   -1.41,   -2.72,   -2.25,   -1.03,   -2.73,   -4.25,   -5.06,   -7.42,   -5.47,   -5.34
202110,    3.85,    8.57,    6.34,    3.79,    5.46,    9.92,    6.57,    6.69,    2.41,    5.37,    3.97,    6.81,   12.64,    4.61,    7.74,    4.78,    7.69,    5.42
202111,   -7.74,   -1.64,    0.46,   -8.86,   -5.55,   -1.01,   -1.26,    1.00,   -8.18,   -9.62,   -5.57,   -5.54,   -1.69,    0.43,   -0.80,   -1.98,   -0.06,    2.39
202112,   -0.77,    3.27,    4.75,   -3.73,    4.62,    3.86,    3.05,    4.79,   -5.00,   -2.29,    4.79,    4.47,    1.85,    8.02,    2.11,    4.55,    3.22,    6.80


  Equal Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,   -1.10,   -0.21,   -0.41,   -1.09,   -0.76,    0.49,   -0.98,   -0.38,   -1.19,   -0.94,   -1.14,   -0.40,   -0.03,    1.07,   -1.49,   -0.48,   -1.15,    0.12
196308,    3.92,    4.48,    4.73,    3.62,    4.77,    4.44,    4.24,    4.93,    3.00,    4.55,    4.80,    4.74,    4.70,    4.15,    4.29,    4.19,    4.29,    5.35
196309,   -0.69,   -1.49,   -1.58,   -0.48,   -1.38,   -1.50,   -0.74,   -2.16,   -0.69,   -0.17,   -1.27,   -1.48,   -0.91,   -2.15,   -1.50,    0.00,   -1.84,   -2.37
196310,    1.37,    1.17,    1.83,    1.50,    0.82,    1.16,    1.48,    2.07,    2.15,    0.52,    0.99,    0.65,    1.48,    0.79,    1.78,    1.18,    2.58,    1.74
196311,   -2.12,   -0.93,   -1.88,   -2.46,   -0.50,   -1.46,   -0.90,   -2.24,   -3.27,   -1.26,   -1.12,    0.11,   -1.60,   -1.30,   -0.94,   -0.87,   -0.92,   -3.11
196312,   -1.02,    0.67,   -0.10,   -1.24,    0.23,    0.42,    0.66,   -0.24,   -2.32,    0.37,   -0.36,    0.81,   -0.54,    1.49,    1.04,    0.29,    0.77,   -0.90
196401,    4.24,    2.81,    2.73,    5.02,    3.04,    2.10,    2.13,    3.23,    5.52,    4.28,    1.96,    4.10,    2.57,    1.57,    2.91,    1.36,    2.23,    3.88
196402,    3.03,    1.73,    1.96,    3.52,    1.97,    1.74,    1.06,    2.30,    3.87,    2.99,    1.63,    2.30,    2.37,    1.03,    1.11,    1.02,    3.00,    1.85
196403,    3.87,    2.69,    1.90,    3.69,    3.47,    2.80,    1.98,    2.10,    3.49,    3.99,    4.39,    2.57,    3.62,    1.88,    2.60,    1.38,    1.36,    2.58
196404,    0.24,   -0.10,   -0.62,    0.25,    0.81,   -0.31,   -0.70,   -0.79,    0.21,    0.31,    0.23,    1.38,   -1.08,    0.53,   -1.27,   -0.15,   -0.93,   -0.69
196405,    0.99,    0.89,    0.27,    1.25,    0.48,    1.26,    0.26,    0.27,    1.76,    0.49,    0.25,    0.72,    1.53,    0.97,    0.29,    0.24,    0.51,    0.12
196406,    0.89,    1.72,    1.40,    0.61,    1.47,    2.09,    1.41,    1.42,    1.61,   -0.88,    1.70,    1.24,    3.04,    1.04,    1.46,    1.35,    1.62,    1.29
196407,    3.72,    2.73,    2.68,    3.45,    3.31,    2.75,    3.12,    2.58,    3.43,    3.48,    4.55,    2.06,    2.78,    2.71,    3.33,    2.92,    2.74,    2.46
196408,   -0.01,   -0.50,   -1.09,   -0.26,    0.11,   -0.57,   -0.43,   -1.33,   -0.52,    0.15,    0.76,   -0.54,   -0.38,   -0.79,   -0.32,   -0.53,   -1.19,   -1.43
196409,    3.92,    3.12,    3.98,    3.86,    3.85,    3.20,    2.58,    4.53,    4.04,    3.58,    4.11,    3.60,    3.06,    3.38,    2.49,    2.67,    5.00,    4.19
196410,    2.07,    1.84,    2.06,    2.17,    2.14,    1.54,    2.52,    1.57,    2.29,    1.96,    1.77,    2.50,    1.56,    1.53,    1.78,    3.22,    0.57,    2.29
196411,   -0.93,    0.51,    0.35,   -1.36,    0.35,    0.73,    0.17,    0.46,   -1.73,   -0.75,    0.38,    0.32,    1.46,   -0.17,    0.27,    0.08,    0.74,    0.26
196412,   -1.55,   -0.69,   -0.36,   -1.93,   -0.71,   -0.99,   -0.08,   -0.34,   -1.72,   -2.29,   -0.38,   -1.05,   -1.49,   -0.37,    0.25,   -0.39,    0.29,   -0.79
196501,    8.11,    5.51,    7.15,    8.47,    6.26,    5.28,    6.32,    7.37,    8.75,    8.02,    7.03,    5.49,    6.08,    4.29,    5.98,    6.63,    7.27,    7.44
196502,    2.82,    3.12,    3.85,    2.96,    2.42,    3.73,    2.67,    4.31,    2.96,    2.95,    2.41,    2.43,    3.79,    3.65,    2.58,    2.76,    3.29,    5.04
196503,    2.13,    0.63,   -0.15,    1.78,    1.72,    0.77,    0.22,   -0.13,    1.61,    2.06,    3.16,    0.27,    0.41,    1.22,    0.68,   -0.20,   -0.61,    0.21
196504,    4.02,    3.69,    4.20,    3.67,    4.07,    4.31,    3.39,    4.40,    3.07,    4.65,    5.05,    3.08,    5.78,    2.49,    3.04,    3.73,    3.99,    4.69
196505,   -0.03,   -0.53,    0.61,   -0.37,    0.47,   -0.73,   -0.45,    0.99,   -0.25,   -0.55,    0.96,   -0.03,   -1.23,   -0.10,   -0.60,   -0.31,    0.21,    1.55
196506,   -9.22,   -7.57,   -7.72,   -9.45,   -8.00,   -7.89,   -6.87,   -8.15,   -9.94,   -8.65,   -8.54,   -7.46,   -8.71,   -6.87,   -7.06,   -6.70,   -7.21,   -8.81
196507,    3.07,    3.09,    2.30,    3.30,    2.98,    3.21,    2.03,    2.57,    2.74,    4.12,    2.51,    3.50,    3.27,    3.16,    2.44,    1.58,    2.46,    2.66
196508,    4.06,    3.72,    4.83,    3.83,    4.38,    3.73,    3.36,    5.36,    4.57,    2.74,    4.62,    4.12,    4.11,    3.40,    3.29,    3.44,    5.79,    5.02
196509,    4.02,    3.21,    3.06,    3.79,    3.98,    3.46,    2.67,    3.21,    3.28,    4.53,    4.61,    3.28,    3.84,    3.12,    2.66,    2.67,    3.29,    3.15
196510,    6.74,    4.55,    5.51,    6.99,    5.96,    4.19,    4.18,    5.94,    7.46,    6.30,    6.12,    5.78,    3.43,    4.88,    4.02,    4.36,    5.93,    5.95
196511,    6.56,    2.96,    4.50,    7.07,    4.35,    2.64,    3.38,    4.85,    8.71,    4.66,    5.29,    3.32,    2.11,    3.11,    3.19,    3.60,    4.32,    5.27
196512,    5.69,    3.31,    4.08,    6.30,    3.42,    3.86,    2.80,    4.66,    8.05,    3.72,    4.19,    2.57,    5.24,    2.63,    3.02,    2.56,    2.53,    6.34
196601,    8.30,    3.99,    4.35,    9.25,    6.12,    3.11,    3.50,    4.62,   11.56,    5.86,    5.96,    6.29,    3.26,    2.98,    3.36,    3.64,    5.22,    4.14
196602,    5.02,    1.39,    1.97,    5.83,    2.77,    0.81,    0.74,    2.68,    8.28,    2.23,    3.02,    2.51,    2.07,   -0.30,    1.35,    0.08,    1.38,    3.71
196603,   -0.68,   -2.07,   -0.97,   -0.53,   -1.56,   -1.97,   -2.40,   -0.34,    0.63,   -2.23,   -1.03,   -2.13,   -1.93,   -2.01,   -2.19,   -2.63,   -1.35,    0.45
196604,    4.92,    3.73,    4.95,    5.36,    3.47,    3.94,    4.24,    5.11,    5.88,    4.60,    3.84,    3.07,    4.10,    3.81,    3.98,    4.53,    4.41,    5.67
196605,  -10.09,   -7.19,   -7.68,  -10.55,   -8.45,   -7.14,   -7.10,   -7.70,  -11.88,   -8.59,   -8.95,   -7.89,   -7.80,   -6.55,   -6.60,   -7.63,   -7.76,   -7.65
196606,   -0.49,   -0.15,   -0.64,   -0.54,   -0.40,    0.07,   -0.69,   -0.45,   -0.66,   -0.36,   -0.37,   -0.42,   -0.15,    0.26,   -0.29,   -1.12,   -0.56,   -0.37
196607,   -1.63,   -1.17,   -1.61,   -1.66,   -1.04,   -1.64,   -1.06,   -1.78,   -1.71,   -1.60,   -1.54,   -0.43,   -1.35,   -1.95,   -0.94,   -1.19,   -1.15,   -2.29
196608,  -10.59,   -8.98,   -9.74,  -10.71,   -9.82,   -9.16,   -8.60,  -10.10,  -11.61,   -9.29,  -10.24,   -9.32,   -9.70,   -8.59,   -8.36,   -8.85,   -8.87,  -11.11
196609,   -1.97,   -1.30,   -1.97,   -2.20,   -1.91,   -0.58,   -1.63,   -2.05,   -2.03,   -2.48,   -1.33,   -2.62,   -0.17,   -1.01,   -1.51,   -1.77,   -2.41,   -1.75
196610,   -1.29,    1.38,   -2.12,   -2.41,    1.69,    1.85,    0.33,   -3.10,   -4.11,    0.26,    1.78,    1.57,    1.61,    2.10,    0.40,    0.26,   -1.66,   -4.28
196611,    2.80,    2.58,    6.47,    3.30,    2.04,    2.34,    3.39,    7.50,    4.41,    1.55,    1.44,    2.77,    2.50,    2.17,    2.86,    3.97,    5.83,    8.88
196612,    1.46,    2.12,    1.75,    1.42,    1.73,    1.88,    2.70,    1.38,    1.24,    1.71,    1.57,    1.91,    1.92,    1.83,    2.75,    2.65,    2.15,    0.74
196701,   18.50,   14.35,   16.56,   18.52,   17.00,   14.14,   13.88,   17.69,   20.20,   15.86,   18.44,   15.27,   14.59,   13.67,   13.96,   13.80,   16.10,   18.99
196702,    5.59,    2.54,    3.59,    6.50,    2.64,    2.09,    3.61,    3.65,    8.27,    3.72,    3.11,    2.08,    2.35,    1.81,    3.75,    3.45,    4.58,    2.88
196703,    5.54,    5.62,    5.79,    5.50,    6.09,    5.29,    5.33,    6.01,    6.11,    4.53,    5.67,    6.61,    5.58,    4.98,    5.38,    5.28,    6.11,    5.92
196704,    4.56,    3.79,    4.74,    5.08,    3.70,    3.62,    3.93,    4.92,    5.30,    4.73,    3.13,    4.40,    3.08,    4.19,    3.58,    4.31,    4.04,    5.63
196705,   -0.14,   -1.58,   -1.72,    0.29,   -1.47,   -1.72,   -1.91,   -1.36,    0.41,    0.11,   -1.33,   -1.63,   -1.77,   -1.67,   -1.29,   -2.58,   -1.10,   -1.59
196706,    9.67,    5.91,    7.33,    9.92,    8.37,    5.69,    5.18,    8.08,   10.95,    8.30,    8.97,    7.65,    6.01,    5.35,    4.87,    5.50,    8.60,    7.65
196707,    8.95,    7.25,    7.39,    9.95,    7.25,    7.00,    7.24,    7.29,   11.23,    8.28,    6.39,    8.23,    7.35,    6.63,    6.81,    7.68,    7.39,    7.22
196708,    0.60,   -0.36,    0.48,    1.21,   -0.25,   -1.04,   -0.15,    0.82,    0.79,    1.76,   -0.94,    0.53,   -0.76,   -1.34,    0.14,   -0.45,    0.94,    0.72
196709,    7.33,    4.88,    6.12,    7.43,    6.38,    3.92,    5.67,    6.44,    8.20,    6.41,    7.09,    5.57,    3.90,    3.94,    6.11,    5.22,    6.24,    6.61
196710,   -1.22,   -2.64,   -2.68,   -1.01,   -1.31,   -2.89,   -3.10,   -2.82,   -0.29,   -1.95,   -1.76,   -0.79,   -2.59,   -3.21,   -3.89,   -2.29,   -3.61,   -2.17
196711,   -0.70,    0.51,    0.59,   -0.89,    0.35,    1.00,    0.20,    0.32,    0.00,   -2.06,   -0.20,    0.99,    1.07,    0.92,   -0.91,    1.33,    0.83,   -0.09
196712,    9.58,    6.22,    7.47,   10.53,    6.67,    5.58,    7.76,    7.31,   13.01,    7.31,    7.16,    6.10,    5.22,    5.96,    7.60,    7.93,    7.04,    7.52
196801,    4.47,   -0.15,   -0.97,    4.97,    1.27,   -0.17,    0.08,   -1.14,    4.81,    5.18,    3.21,   -0.93,    0.81,   -1.18,    0.66,   -0.51,    0.46,   -2.44
196802,   -6.57,   -4.44,   -5.56,   -6.52,   -5.80,   -4.02,   -4.84,   -5.87,   -7.17,   -5.66,   -6.70,   -4.77,   -4.35,   -3.67,   -4.97,   -4.71,   -5.79,   -5.93
196803,   -0.30,   -1.77,   -0.63,   -0.71,   -0.01,   -1.87,   -1.92,   -0.35,   -0.54,   -0.94,    0.74,   -0.86,   -1.41,   -2.34,   -2.44,   -1.39,   -0.63,   -0.12
196804,   14.99,   11.51,   15.85,   15.96,   13.11,   10.49,   12.47,   16.66,   16.41,   15.38,   12.52,   13.79,    9.72,   11.29,   11.33,   13.63,   16.46,   16.84
196805,   10.59,    6.46,    8.04,   11.44,    7.62,    6.15,    6.52,    8.72,   12.33,   10.27,    8.45,    6.67,    5.96,    6.36,    6.86,    6.18,    7.68,    9.58
196806,    1.56,    2.29,    0.52,    1.20,    2.38,    2.69,    1.53,    0.16,    0.97,    1.49,    2.49,    2.25,    3.24,    2.11,    1.56,    1.49,    0.87,   -0.41
196807,   -1.76,   -3.16,   -4.87,   -1.24,   -3.45,   -3.12,   -3.72,   -5.02,   -0.98,   -1.61,   -3.25,   -3.64,   -2.55,   -3.65,   -2.74,   -4.53,   -4.32,   -5.57
196808,    4.67,    2.58,    2.80,    4.78,    4.11,    2.49,    2.19,    2.81,    5.15,    4.25,    4.38,    3.83,    2.70,    2.30,    1.48,    2.79,    2.06,    3.41
196809,    8.47,    5.77,    6.43,    8.57,    7.10,    5.17,    5.89,    6.94,    8.78,    8.26,    8.17,    6.04,    5.57,    4.81,    6.64,    5.28,    6.82,    7.04
196810,    0.74,    1.12,    0.18,    0.46,    1.54,    0.57,    1.02,    0.09,    0.51,    0.40,    1.55,    1.54,    0.51,    0.62,    1.78,    0.39,    1.15,   -0.75
196811,    6.88,    7.03,    7.56,    6.72,    7.05,    7.25,    7.35,    7.48,    6.26,    7.38,    7.35,    6.76,    7.77,    6.79,    6.87,    7.74,    7.45,    7.50
196812,    2.45,   -1.49,   -0.67,    3.13,   -0.20,   -1.84,   -1.21,   -0.50,    3.20,    3.03,    0.52,   -0.92,   -1.72,   -1.95,   -1.40,   -1.05,   -0.78,   -0.28
196901,   -0.27,   -0.54,   -1.10,    0.23,   -1.62,    0.32,   -0.80,   -1.38,    0.53,   -0.19,   -1.71,   -1.53,    0.50,    0.16,   -1.21,   -0.46,   -0.90,   -1.76
196902,   -9.82,   -7.18,   -8.25,  -10.16,   -8.13,   -7.31,   -7.37,   -8.41,  -10.96,   -9.01,   -8.88,   -7.38,   -7.34,   -7.28,   -6.73,   -7.90,   -7.68,   -8.99
196903,    2.60,    1.91,    1.83,    2.70,    2.20,    1.67,    1.65,    2.09,    3.04,    2.22,    2.30,    2.10,    2.05,    1.33,    2.15,    1.24,    1.58,    2.49
196904,    0.74,    0.65,    0.13,    0.84,    0.63,    0.76,    0.25,    0.08,    0.41,    1.45,    0.46,    0.79,    0.52,    0.98,    0.27,    0.23,    0.28,   -0.09
196905,    1.15,    0.55,   -0.67,    1.74,    0.59,    0.03,   -0.24,   -0.62,    2.39,    0.81,   -0.52,    1.69,    0.09,   -0.03,    0.42,   -0.78,    0.28,   -1.34
196906,  -12.64,  -10.00,  -10.28,  -13.02,  -11.40,   -9.79,   -9.42,  -10.57,  -13.64,  -12.15,  -11.56,  -11.24,   -9.64,   -9.92,   -9.15,   -9.65,  -10.51,  -10.61
196907,  -10.23,   -8.48,   -9.37,  -10.89,   -9.46,   -8.13,   -8.20,   -9.43,  -11.84,   -9.60,   -8.46,  -10.45,   -7.89,   -8.37,   -7.09,   -9.25,  -10.29,   -8.68
196908,    4.33,    4.50,    6.56,    4.04,    5.15,    4.04,    4.94,    7.17,    3.90,    4.21,    5.13,    5.18,    3.60,    4.49,    4.75,    5.11,    7.52,    6.86
196909,   -3.40,   -2.36,   -1.29,   -3.63,   -2.15,   -2.58,   -1.97,   -1.33,   -3.91,   -3.25,   -2.77,   -1.54,   -2.92,   -2.22,   -2.79,   -1.20,   -1.28,   -1.37
196910,   10.60,    8.98,    9.47,   10.83,    9.86,    8.94,    7.85,   10.29,   10.95,   10.67,    9.96,    9.76,    8.89,    9.00,    8.21,    7.51,   10.19,   10.37
196911,   -6.35,   -5.31,   -5.11,   -6.41,   -5.87,   -5.24,   -5.21,   -5.07,   -7.09,   -5.50,   -6.18,   -5.55,   -4.86,   -5.62,   -5.21,   -5.21,   -4.56,   -5.51
196912,   -8.46,   -5.48,   -4.75,   -9.24,   -6.30,   -5.30,   -5.23,   -4.46,  -10.71,   -7.26,   -6.35,   -6.26,   -4.97,   -5.64,   -5.01,   -5.43,   -4.80,   -4.17
197001,   -1.67,   -4.54,   -6.63,   -0.93,   -4.20,   -4.42,   -5.62,   -6.64,   -0.11,   -2.03,   -3.68,   -4.72,   -4.40,   -4.43,   -4.58,   -6.59,   -6.92,   -6.40
197002,    4.53,    4.95,    3.06,    4.59,    4.92,    5.00,    3.89,    2.87,    3.84,    5.60,    4.38,    5.46,    4.99,    5.01,    4.27,    3.52,    2.99,    2.76
197003,   -2.44,   -1.33,   -2.96,   -2.68,   -1.76,   -1.56,   -1.56,   -3.10,   -2.84,   -2.46,   -1.79,   -1.74,   -2.11,   -0.98,   -0.42,   -2.63,   -2.95,   -3.24
197004,  -17.24,  -13.75,  -16.23,  -18.14,  -14.66,  -13.50,  -13.52,  -17.34,  -19.49,  -16.33,  -14.80,  -14.51,  -13.85,  -13.14,  -13.44,  -13.58,  -16.85,  -17.77
197005,   -9.14,   -8.58,   -9.21,   -9.43,   -8.30,   -8.95,   -9.21,   -8.81,   -9.41,   -9.47,   -8.36,   -8.24,   -8.63,   -9.29,   -8.17,  -10.18,   -8.08,   -9.45
197006,   -8.54,   -6.75,   -7.53,   -8.89,   -7.95,   -6.82,   -5.87,   -7.83,   -9.59,   -7.96,   -7.58,   -8.32,   -6.97,   -6.67,   -4.87,   -6.82,   -7.73,   -7.92
197007,    4.68,    6.21,    7.12,    4.01,    6.30,    6.18,    7.29,    6.73,    3.27,    5.14,    6.64,    6.00,    6.14,    6.21,    6.52,    8.03,    7.31,    6.19
197008,    6.22,    6.27,    6.69,    6.19,    6.57,    5.96,    6.08,    7.05,    6.07,    6.38,    6.31,    6.81,    6.56,    5.39,    6.31,    5.86,    6.16,    7.89
197009,   15.45,   10.29,   12.76,   16.37,   11.05,   10.28,   10.42,   14.10,   17.91,   14.04,   12.78,    9.49,   11.43,    9.21,   11.17,    9.70,   12.25,   15.82
197010,   -8.24,   -4.69,   -5.24,   -8.67,   -6.06,   -4.80,   -4.49,   -5.33,   -9.02,   -8.14,   -7.00,   -5.21,   -4.67,   -4.91,   -3.90,   -5.05,   -4.52,   -6.08
197011,   -2.11,    1.74,    2.01,   -3.07,    0.85,    2.43,    1.75,    1.91,   -4.40,   -1.07,    0.74,    0.96,    2.74,    2.14,    1.24,    2.25,    2.85,    1.04
197012,    7.75,    9.09,    8.91,    7.16,    9.16,    9.08,    8.85,    9.14,    6.78,    7.74,    9.47,    8.88,    8.69,    9.43,    9.34,    8.38,    8.41,    9.82
197101,   16.37,   12.27,   11.28,   17.87,   12.14,   12.76,   11.55,   11.04,   19.32,   15.68,   11.97,   12.30,   13.40,   12.17,   11.25,   11.84,   11.53,   10.58
197102,    5.61,    3.16,    5.79,    6.10,    3.82,    2.84,    4.37,    6.01,    7.61,    3.87,    4.17,    3.51,    2.67,    3.00,    3.43,    5.29,    6.08,    5.94
197103,    5.41,    5.42,    6.45,    5.30,    5.57,    5.41,    5.35,    6.97,    5.42,    5.12,    5.73,    5.42,    5.94,    4.91,    5.45,    5.26,    6.35,    7.56
197104,    3.25,    2.50,    2.43,    3.40,    2.84,    2.36,    2.27,    2.55,    3.36,    3.45,    2.83,    2.85,    3.40,    1.40,    2.38,    2.16,    2.61,    2.49
197105,   -5.76,   -4.79,   -4.50,   -5.91,   -5.28,   -4.63,   -4.71,   -4.38,   -6.84,   -4.55,   -5.33,   -5.24,   -4.99,   -4.31,   -4.63,   -4.79,   -4.81,   -3.98
197106,   -3.10,   -1.02,   -0.87,   -3.62,   -1.20,   -1.19,   -1.27,   -0.53,   -3.59,   -3.66,   -1.60,   -0.85,   -1.29,   -1.09,   -0.86,   -1.68,   -1.17,    0.07
197107,   -6.73,   -4.85,   -6.05,   -7.01,   -5.08,   -5.06,   -5.12,   -6.34,   -7.75,   -5.99,   -5.90,   -4.34,   -4.45,   -5.73,   -4.99,   -5.28,   -5.85,   -6.78
197108,    4.46,    4.04,    5.05,    4.45,    4.14,    3.79,    4.40,    5.44,    4.67,    4.14,    4.49,    3.82,    3.99,    3.57,    4.73,    4.01,    4.91,    5.91
197109,   -1.92,   -0.35,    1.14,   -1.80,   -1.37,   -0.49,   -0.31,    1.86,   -2.69,   -0.55,   -2.27,   -0.54,   -0.47,   -0.52,    0.11,   -0.79,    1.46,    2.23
197110,   -7.00,   -4.61,   -5.71,   -7.61,   -4.86,   -4.92,   -4.44,   -6.01,   -8.06,   -6.99,   -5.17,   -4.57,   -5.19,   -4.62,   -4.06,   -4.89,   -5.94,   -6.08
197111,   -4.73,   -2.92,   -1.91,   -5.16,   -3.30,   -2.74,   -1.66,   -2.59,   -5.64,   -4.48,   -3.46,   -3.16,   -3.00,   -2.45,   -3.00,   -0.09,   -1.37,   -3.70
197112,   12.33,   11.70,   12.47,   12.47,   11.32,   12.03,   11.53,   13.04,   11.84,   13.35,   11.92,   10.78,   11.07,   13.09,   12.01,   10.98,   12.97,   13.10
